10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192 Начальное решение
окрестность 1 вида
9, 3; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 9, 3; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 9, 3; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 9, 3; 10, 2;  200
10, 2; 10, 2; 10, 2; 10, 2; 9, 3;  192
комбинации типов
9, 3; 9, 3; 10, 2; 10, 2; 10, 2;  192
9, 3; 10, 2; 9, 3; 10, 2; 10, 2;  192
9, 3; 10, 2; 10, 2; 9, 3; 10, 2;  200
9, 3; 10, 2; 10, 2; 10, 2; 9, 3;  192
10, 2; 9, 3; 9, 3; 10, 2; 10, 2;  192
10, 2; 9, 3; 10, 2; 9, 3; 10, 2;  200
10, 2; 9, 3; 10, 2; 10, 2; 9, 3;  192
10, 2; 10, 2; 9, 3; 9, 3; 10, 2;  200
10, 2; 10, 2; 9, 3; 10, 2; 9, 3;  192
10, 2; 10, 2; 10, 2; 9, 3; 9, 3;  200
окрестность 1 вида
8, 4; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 8, 4; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 8, 4; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 8, 4; 10, 2;  208
10, 2; 10, 2; 10, 2; 10, 2; 8, 4;  192
комбинации типов
8, 4; 8, 4; 10, 2; 10, 2; 10, 2;  192
8, 4; 10, 2; 8, 4; 10, 2; 10, 2;  192
8, 4; 10, 2; 10, 2; 8, 4; 10, 2;  208
8, 4; 10, 2; 10, 2; 10, 2; 8, 4;  192
10, 2; 8, 4; 8, 4; 10, 2; 10, 2;  192
10, 2; 8, 4; 10, 2; 8, 4; 10, 2;  208
10, 2; 8, 4; 10, 2; 10, 2; 8, 4;  192
10, 2; 10, 2; 8, 4; 8, 4; 10, 2;  208
10, 2; 10, 2; 8, 4; 10, 2; 8, 4;  192
10, 2; 10, 2; 10, 2; 8, 4; 8, 4;  208
окрестность 1 вида
7, 5; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 7, 5; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 7, 5; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 7, 5; 10, 2;  216
10, 2; 10, 2; 10, 2; 10, 2; 7, 5;  192
комбинации типов
7, 5; 7, 5; 10, 2; 10, 2; 10, 2;  192
7, 5; 10, 2; 7, 5; 10, 2; 10, 2;  192
7, 5; 10, 2; 10, 2; 7, 5; 10, 2;  216
7, 5; 10, 2; 10, 2; 10, 2; 7, 5;  192
10, 2; 7, 5; 7, 5; 10, 2; 10, 2;  192
10, 2; 7, 5; 10, 2; 7, 5; 10, 2;  216
10, 2; 7, 5; 10, 2; 10, 2; 7, 5;  192
10, 2; 10, 2; 7, 5; 7, 5; 10, 2;  216
10, 2; 10, 2; 7, 5; 10, 2; 7, 5;  192
10, 2; 10, 2; 10, 2; 7, 5; 7, 5;  216
окрестность 1 вида
6, 6; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 6, 6; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 6, 6; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 6, 6; 10, 2;  224
10, 2; 10, 2; 10, 2; 10, 2; 6, 6;  192
комбинации типов
6, 6; 6, 6; 10, 2; 10, 2; 10, 2;  192
6, 6; 10, 2; 6, 6; 10, 2; 10, 2;  192
6, 6; 10, 2; 10, 2; 6, 6; 10, 2;  216
6, 6; 10, 2; 10, 2; 10, 2; 6, 6;  192
10, 2; 6, 6; 6, 6; 10, 2; 10, 2;  192
10, 2; 6, 6; 10, 2; 6, 6; 10, 2;  224
10, 2; 6, 6; 10, 2; 10, 2; 6, 6;  192
10, 2; 10, 2; 6, 6; 6, 6; 10, 2;  224
10, 2; 10, 2; 6, 6; 10, 2; 6, 6;  192
10, 2; 10, 2; 10, 2; 6, 6; 6, 6;  224
окрестность 1 вида
8, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 8, 2, 2; 10, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 8, 2, 2; 10, 2; 10, 2;  192
10, 2; 10, 2; 10, 2; 8, 2, 2; 10, 2;  192
