10, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910 Начальное решение
окрестность 1 вида
9, 3; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 9, 3; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 9, 3; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 9, 3; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 9, 3;  910
комбинации типов
9, 3; 9, 3; 10, 2; 10, 2; 10, 2;  910
9, 3; 10, 2; 9, 3; 10, 2; 10, 2;  910
9, 3; 10, 2; 10, 2; 9, 3; 10, 2;  910
9, 3; 10, 2; 10, 2; 10, 2; 9, 3;  910
10, 2; 9, 3; 9, 3; 10, 2; 10, 2;  910
10, 2; 9, 3; 10, 2; 9, 3; 10, 2;  910
10, 2; 9, 3; 10, 2; 10, 2; 9, 3;  910
10, 2; 10, 2; 9, 3; 9, 3; 10, 2;  910
10, 2; 10, 2; 9, 3; 10, 2; 9, 3;  910
10, 2; 10, 2; 10, 2; 9, 3; 9, 3;  910
окрестность 1 вида
8, 4; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 8, 4; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 8, 4; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 8, 4; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 8, 4;  910
комбинации типов
8, 4; 8, 4; 10, 2; 10, 2; 10, 2;  910
8, 4; 10, 2; 8, 4; 10, 2; 10, 2;  910
8, 4; 10, 2; 10, 2; 8, 4; 10, 2;  910
8, 4; 10, 2; 10, 2; 10, 2; 8, 4;  910
10, 2; 8, 4; 8, 4; 10, 2; 10, 2;  910
10, 2; 8, 4; 10, 2; 8, 4; 10, 2;  910
10, 2; 8, 4; 10, 2; 10, 2; 8, 4;  910
10, 2; 10, 2; 8, 4; 8, 4; 10, 2;  910
10, 2; 10, 2; 8, 4; 10, 2; 8, 4;  910
10, 2; 10, 2; 10, 2; 8, 4; 8, 4;  910
окрестность 1 вида
7, 5; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 7, 5; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 7, 5; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 7, 5; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 7, 5;  910
комбинации типов
7, 5; 7, 5; 10, 2; 10, 2; 10, 2;  910
7, 5; 10, 2; 7, 5; 10, 2; 10, 2;  910
7, 5; 10, 2; 10, 2; 7, 5; 10, 2;  910
7, 5; 10, 2; 10, 2; 10, 2; 7, 5;  910
10, 2; 7, 5; 7, 5; 10, 2; 10, 2;  910
10, 2; 7, 5; 10, 2; 7, 5; 10, 2;  910
10, 2; 7, 5; 10, 2; 10, 2; 7, 5;  910
10, 2; 10, 2; 7, 5; 7, 5; 10, 2;  910
10, 2; 10, 2; 7, 5; 10, 2; 7, 5;  910
10, 2; 10, 2; 10, 2; 7, 5; 7, 5;  910
окрестность 1 вида
6, 6; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 6, 6; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 6, 6; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 6, 6; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 6, 6;  910
комбинации типов
6, 6; 6, 6; 10, 2; 10, 2; 10, 2;  910
6, 6; 10, 2; 6, 6; 10, 2; 10, 2;  910
6, 6; 10, 2; 10, 2; 6, 6; 10, 2;  910
6, 6; 10, 2; 10, 2; 10, 2; 6, 6;  910
10, 2; 6, 6; 6, 6; 10, 2; 10, 2;  910
10, 2; 6, 6; 10, 2; 6, 6; 10, 2;  910
10, 2; 6, 6; 10, 2; 10, 2; 6, 6;  910
10, 2; 10, 2; 6, 6; 6, 6; 10, 2;  910
10, 2; 10, 2; 6, 6; 10, 2; 6, 6;  910
10, 2; 10, 2; 10, 2; 6, 6; 6, 6;  910
окрестность 1 вида
8, 2, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 8, 2, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 8, 2, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 8, 2, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 8, 2, 2;  910
комбинации типов
8, 2, 2; 8, 2, 2; 10, 2; 10, 2; 10, 2;  910
8, 2, 2; 10, 2; 8, 2, 2; 10, 2; 10, 2;  910
8, 2, 2; 10, 2; 10, 2; 8, 2, 2; 10, 2;  910
8, 2, 2; 10, 2; 10, 2; 10, 2; 8, 2, 2;  910
10, 2; 8, 2, 2; 8, 2, 2; 10, 2; 10, 2;  910
10, 2; 8, 2, 2; 10, 2; 8, 2, 2; 10, 2;  910
10, 2; 8, 2, 2; 10, 2; 10, 2; 8, 2, 2;  910
10, 2; 10, 2; 8, 2, 2; 8, 2, 2; 10, 2;  910
10, 2; 10, 2; 8, 2, 2; 10, 2; 8, 2, 2;  910
10, 2; 10, 2; 10, 2; 8, 2, 2; 8, 2, 2;  910
окрестность 1 вида
7, 3, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 7, 3, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 7, 3, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 7, 3, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 7, 3, 2;  910
комбинации типов
7, 3, 2; 7, 3, 2; 10, 2; 10, 2; 10, 2;  910
7, 3, 2; 10, 2; 7, 3, 2; 10, 2; 10, 2;  910
7, 3, 2; 10, 2; 10, 2; 7, 3, 2; 10, 2;  910
7, 3, 2; 10, 2; 10, 2; 10, 2; 7, 3, 2;  910
10, 2; 7, 3, 2; 7, 3, 2; 10, 2; 10, 2;  910
10, 2; 7, 3, 2; 10, 2; 7, 3, 2; 10, 2;  910
10, 2; 7, 3, 2; 10, 2; 10, 2; 7, 3, 2;  910
10, 2; 10, 2; 7, 3, 2; 7, 3, 2; 10, 2;  910
10, 2; 10, 2; 7, 3, 2; 10, 2; 7, 3, 2;  910
10, 2; 10, 2; 10, 2; 7, 3, 2; 7, 3, 2;  910
окрестность 1 вида
6, 4, 2; 10, 2; 10, 2; 10, 2; 10, 2;  910
6, 3, 3; 10, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 6, 4, 2; 10, 2; 10, 2; 10, 2;  910
10, 2; 6, 3, 3; 10, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 6, 4, 2; 10, 2; 10, 2;  910
10, 2; 10, 2; 6, 3, 3; 10, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 6, 4, 2; 10, 2;  910
10, 2; 10, 2; 10, 2; 6, 3, 3; 10, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 6, 4, 2;  910
10, 2; 10, 2; 10, 2; 10, 2; 6, 3, 3;  910
комбинации типов
6, 4, 2; 6, 4, 2; 10, 2; 10, 2; 10, 2;  910
6, 4, 2; 6, 3, 3; 10, 2; 10, 2; 10, 2;  910
6, 3, 3; 6, 4, 2; 10, 2; 10, 2; 10, 2;  910
6, 3, 3; 6, 3, 3; 10, 2; 10, 2; 10, 2;  910
6, 4, 2; 10, 2; 6, 4, 2; 10, 2; 10, 2;  910
6, 4, 2; 10, 2; 6, 3, 3; 10, 2; 10, 2;  910
6, 3, 3; 10, 2; 6, 4, 2; 10, 2; 10, 2;  910
6, 3, 3; 10, 2; 6, 3, 3; 10, 2; 10, 2;  910
6, 4, 2; 10, 2; 10, 2; 6, 4, 2; 10, 2;  910
6, 4, 2; 10, 2; 10, 2; 6, 3, 3; 10, 2;  910
6, 3, 3; 10, 2; 10, 2; 6, 4, 2; 10, 2;  910
6, 3, 3; 10, 2; 10, 2; 6, 3, 3; 10, 2;  910
6, 4, 2; 10, 2; 10, 2; 10, 2; 6, 4, 2;  910
6, 4, 2; 10, 2; 10, 2; 10, 2; 6, 3, 3;  910
6, 3, 3; 10, 2; 10, 2; 10, 2; 6, 4, 2;  910
6, 3, 3; 10, 2; 10, 2; 10, 2; 6, 3, 3;  910
10, 2; 6, 4, 2; 6, 4, 2; 10, 2; 10, 2;  910
10, 2; 6, 4, 2; 6, 3, 3; 10, 2; 10, 2;  910
10, 2; 6, 3, 3; 6, 4, 2; 10, 2; 10, 2;  910
10, 2; 6, 3, 3; 6, 3, 3; 10, 2; 10, 2;  910
10, 2; 6, 4, 2; 10, 2; 6, 4, 2; 10, 2;  910
10, 2; 6, 4, 2; 10, 2; 6, 3, 3; 10, 2;  910
10, 2; 6, 3, 3; 10, 2; 6, 4, 2; 10, 2;  910
10, 2; 6, 3, 3; 10, 2; 6, 3, 3; 10, 2;  910
10, 2; 6, 4, 2; 10, 2; 10, 2; 6, 4, 2;  910
10, 2; 6, 4, 2; 10, 2; 10, 2; 6, 3, 3;  910
10, 2; 6, 3, 3; 10, 2; 10, 2; 6, 4, 2;  910
10, 2; 6, 3, 3; 10, 2; 10, 2; 6, 3, 3;  910
10, 2; 10, 2; 6, 4, 2; 6, 4, 2; 10, 2;  910
